Timestamp,RSSI
57201,-61
57215,-60
57225,-57
57230,-57
57240,-64
57251,-59
57258,-66
57268,-65
57283,-61
57298,-58
57309,-58
57323,-58
57339,-66
57352,-61
57358,-59
57373,-65
57386,-65
57397,-70
57406,-70
57417,-64
57424,-70
57438,-67
57450,-66
57457,-66
57465,-60
57478,-69
57487,-69
57499,-60
57506,-60
57520,-71
57529,-62
57540,-68
57558,-61
57572,-64
57579,-67
57590,-67
57595,-63
57608,-69
57618,-62
57629,-65
57641,-62
57651,-74
57658,-62
57665,-62
57679,-67
57690,-67
57699,-66
57708,-69
57719,-79
57731,-62
57741,-64
57753,-64
57760,-74
57769,-70
57785,-63
57798,-69
57807,-69
57815,-68
57827,-65
57840,-72
57852,-68
57859,-68
57865,-76
57875,-68
57886,-79
57897,-70
57906,-70
57916,-64
57930,-75
57941,-75
57949,-65
57959,-67
57971,-75
57978,-67
57992,-63
58002,-63
58008,-66
58015,-66
58029,-63
58037,-62
58045,-62
58055,-62
58067,-68
58074,-68
58085,-71
58099,-71
58113,-62
58125,-64
58135,-71
58140,0
58147,0
58155,-64
58170,-62
58186,-67
58200,-65
58210,0
58220,-64
58227,-64
58239,-62
58255,-69
58268,-70
58282,-62
58293,-66
58307,-68
58315,-73
58326,-64
58335,-65
58348,-71
58357,-71
58368,-62
58384,-71
58395,-69
58408,-71
58420,-71
58431,-65
58444,-73
58460,-70
58471,-70
58479,-72
58491,-66
58502,-62
58511,-67
58522,0
58529,-64
58540,-64
58547,-65
58558,-70
58570,-64
58577,-64
58588,-65
58600,-62
58607,-62
58615,-71
58627,-65
58638,-62
58649,-62
58659,0
58666,0
58678,-73
58691,-67
58699,-71
58708,-76
58720,-65
58730,-69
58751,-69
58762,-62
58774,-65
58785,-71
58799,-73
58814,-71
58824,-62
58838,-70
58854,-67
58858,-62
58865,-62
58875,-68
58885,-66
58890,-71
58897,-71
58905,-68
58915,-61
58924,-72
58936,-64
58950,-66
58965,-68
58975,-62
58984,-63
58995,-65
59004,-67
59017,-73
59024,-71
59034,-68
59039,-68
59050,-68
59059,-65
59070,-69
59082,-61
59092,-69
59106,-72
59120,-70
59133,-70
59143,-71
59157,-63
59168,-71
59174,-71
59186,-63
59199,-62
59209,-62
59214,-62
59220,-72
59237,-71
59244,-62
59252,-62
59260,-65
59267,-65
59274,-64
59287,-71
59294,-73
59307,-72
59314,-69
59329,-69
59338,-68
59351,-63
59367,-71
59381,-71
59389,-66
59395,-66
59409,-67
59418,-67
59434,-71
59444,-69
59459,-69
59465,-70
59474,-66
59479,-61
59486,-61
59498,-63
59506,-63
59516,-67
59521,-69
59531,-67
59538,-66
59545,-66
59556,-70
59571,-65
59586,-65
59594,-82
59608,-70
59619,-68
59630,-63
59645,-62
59661,-61
59667,-61
59674,-65
59682,-61
59689,-68
59698,-71
59708,-72
59718,-72
59727,-72
59734,-63
59748,-69
59760,-65
59768,-69
59784,-67
59792,-73
59798,-69
59810,-64
59820,-63
59833,-68
59842,-73
59855,-65
59869,-72
59878,-73
59889,-70
59901,-79
59907,-79
59914,-68
59921,-70
59935,-67
59946,-70
59957,-72
59968,-72
59974,-72
59984,-64
59998,-71
60009,-63
60021,-84
60035,-64
60044,-62
60057,-63
60069,-65
60076,-65
60085,-69
60096,-72
60107,-67
60115,-72
60122,-64
60132,-69
60139,-72
60149,-70
60157,-64
60173,-69
60175,-69
60181,-66
60191,-66
60194,-63
60207,-71
60223,-65
60232,-65
60243,-72
60252,-64
60258,-72
60264,-72
60271,-65
60281,-62
