Timestamp,RSSI
147630,-84
147648,-83
147665,-77
147688,-78
147709,-77
147727,-75
147747,-78
147764,-81
147789,-75
147809,-77
147828,-82
147848,-81
147868,-86
147888,-79
147908,-87
147931,-75
147951,-87
147970,-76
147989,-78
148010,-81
148029,0
148049,-81
148067,-79
148093,-80
148117,-78
148136,-78
148157,-81
148176,-82
148201,-81
148219,-81
148237,-79
148255,-78
148274,-77
148294,-77
148316,-84
148334,0
148352,-76
148374,-81
148397,-78
148415,-84
148436,-76
148454,-81
148475,-77
148497,-76
148516,0
148536,-79
148561,-80
148586,-81
148610,-85
148629,-81
148650,-77
148675,-78
148695,-87
148714,0
148738,-79
148758,-76
148782,-76
148801,-80
148819,-88
148840,-77
148864,-76
148889,0
148909,-85
148930,-85
148949,-80
148970,-85
148996,-88
149015,-80
149036,-75
149060,-79
149080,0
149102,-80
149124,-77
149145,-77
149168,-77
149189,-75
149211,0
149228,-76
149245,-76
149267,-83
149284,-82
149305,0
149325,-76
149348,-79
149365,-79
149384,-78
149404,-79
149425,-76
149450,-80
149471,-82
149489,-77
149508,-87
149534,-80
149555,-82
149576,-76
149601,0
149627,-76
149644,-77
149666,-79
149685,-76
149710,0
149729,-79
149748,-77
149769,-76
149786,-78
149808,-76
149826,-86
149856,-77
149879,-83
149897,-78
149916,-84
149940,-78
149959,-76
149982,-86
150008,-78
150028,-77
150045,-77
150066,-78
150088,-76
150107,-79
150132,-76
150152,-77
150173,-77
150196,0
150216,-76
150235,-76
150257,-76
150274,-85
150297,-81
150320,-76
150342,-76
150363,-77
150386,-80
150409,-78
150429,-83
150448,-78
150472,-77
150502,-77
150525,-76
150544,-78
150567,-79
150589,-79
150608,-77
150627,-78
150648,-85
150668,-77
150687,-75
150707,-78
150727,0
150746,-81
150764,-85
150785,-76
150805,-76
150825,-79
150845,-83
150864,-82
150889,0
150910,-81
150929,-83
150950,-83
150969,-80
150989,-81
151009,-75
151035,-85
151055,-83
151075,-79
151096,-77
151118,-86
151138,-76
151158,0
151178,-76
151203,0
151226,-77
151244,-81
151265,-83
151287,0
151306,-78
151326,-75
151346,-76
151367,-78
151388,-79
151414,-80
151439,-82
151459,-86
151479,-85
151504,-76
151527,-80
151548,-77
151574,-86
151595,-79
151615,-79
151637,-77
151657,0
151683,-76
151706,-83
151726,0
151747,-79
151767,0
151789,-77
151810,-75
151829,-80
151852,-85
151873,-81
151895,-77
151917,-86
151936,-79
151956,-75
151976,-82
151996,-79
152019,-78
152039,0
152059,-80
152079,-76
152098,-76
152123,-76
152143,-84
152166,-78
152187,-79
152207,-86
152226,-80
152250,-81
152270,-77
152290,-76
152309,-78
152329,-84
152348,0
152371,-76
152389,-77
152409,-88
152426,-81
152446,-76
