Tx_0 RSSI,Tx_0 Batt,Tx_0 Time,Tx_1 RSSI,Tx_1 Batt,Tx_1 Time,Tx_2 RSSI,Tx_2 Batt,Tx_2 Time,Tx_3 RSSI,Tx_3 Batt,Tx_3 Time,Tx_4 RSSI,Tx_4 Batt,Tx_4 Time,Tx_5 RSSI,Tx_5 Batt,Tx_5 Time,Tx_6 RSSI,Tx_6 Batt,Tx_6 Time,Tx_7 RSSI,Tx_7 Batt,Tx_7 Time
-61,4.18,22-54-52,-77,4.19,22-54-52,-74,4.17,22-54-52,-77,4.16,22-54-52,127,-99.0,22-54-52,-74,4.14,22-54-52,-72,-2.0,22-54-52,127,-99.0,22-54-52
-61,4.19,22-54-52,-80,4.17,22-54-52,-75,4.16,22-54-52,-78,4.18,22-54-52,127,-99.0,22-54-52,-75,4.14,22-54-52,-71,4.16,22-54-52,127,-99.0,22-54-52
-61,4.19,22-54-52,-79,4.18,22-54-52,-75,4.16,22-54-52,-79,-2.0,22-54-52,127,-99.0,22-54-52,-74,4.14,22-54-52,-71,4.17,22-54-52,127,-99.0,22-54-52
-61,4.18,22-54-52,-80,4.2,22-54-52,-73,4.17,22-54-52,-76,-2.0,22-54-52,-83,4.13,22-54-52,-75,4.13,22-54-52,-71,-2.0,22-54-52,127,-99.0,22-54-52
-61,4.19,22-54-52,-78,-2.0,22-54-52,-74,4.16,22-54-52,-79,4.18,22-54-52,127,-99.0,22-54-52,-76,-2.0,22-54-52,-71,-2.0,22-54-52,127,-99.0,22-54-52
-61,4.18,22-54-52,-79,4.19,22-54-52,-75,4.15,22-54-52,-78,4.17,22-54-52,127,-99.0,22-54-52,-72,-2.0,22-54-52,-73,-2.0,22-54-52,127,-99.0,22-54-52
-61,4.18,22-54-52,-82,4.18,22-54-52,-74,-2.0,22-54-52,-80,-2.0,22-54-52,-83,4.15,22-54-52,-77,-2.0,22-54-52,-72,-2.0,22-54-52,127,-99.0,22-54-52
-61,4.18,22-54-52,-75,-2.0,22-54-52,-74,4.17,22-54-52,-81,4.17,22-54-52,127,-99.0,22-54-52,-79,-2.0,22-54-52,-72,-2.0,22-54-52,127,-99.0,22-54-52
-61,4.19,22-54-52,-76,4.2,22-54-52,-75,4.16,22-54-52,-80,4.16,22-54-52,127,-99.0,22-54-52,-78,4.15,22-54-52,-72,4.17,22-54-52,127,-99.0,22-54-52
-62,4.18,22-54-52,-77,4.18,22-54-52,-74,4.17,22-54-52,-77,4.16,22-54-52,-78,-2.0,22-54-52,-76,4.13,22-54-52,-72,-2.0,22-54-52,127,-99.0,22-54-52
