Tx_0 RSSI,Tx_0 Batt,Tx_0 Time,Tx_1 RSSI,Tx_1 Batt,Tx_1 Time,Tx_2 RSSI,Tx_2 Batt,Tx_2 Time,Tx_3 RSSI,Tx_3 Batt,Tx_3 Time,Tx_4 RSSI,Tx_4 Batt,Tx_4 Time,Tx_5 RSSI,Tx_5 Batt,Tx_5 Time,Tx_6 RSSI,Tx_6 Batt,Tx_6 Time,Tx_7 RSSI,Tx_7 Batt,Tx_7 Time,X_Coord,Y_Coord
-61,4.18,0.0,-77.0,4.19,0.0,-74.0,4.17,0.0,-77.0,4.16,0.0,,,0.0,-74,4.14,0.0,-72.0,,0.0,,,0.0,1,1
-61,4.19,0.0,-80.0,4.17,0.0,-75.0,4.16,0.0,-78.0,4.18,0.0,,,0.0,-75,4.14,0.0,-71.0,4.16,0.0,,,0.0,1,1
-61,4.19,0.0,-79.0,4.18,0.0,-75.0,4.16,0.0,-79.0,,0.0,,,0.0,-74,4.14,0.0,-71.0,4.17,0.0,,,0.0,1,1
-61,4.18,0.0,-80.0,4.2,0.0,-73.0,4.17,0.0,-76.0,,0.0,-83.0,4.13,0.0,-75,4.13,0.0,-71.0,,0.0,,,0.0,1,1
-61,4.19,0.0,-78.0,,0.0,-74.0,4.16,0.0,-79.0,4.18,0.0,,,0.0,-76,,0.0,-71.0,,0.0,,,0.0,1,1
-61,4.18,0.0,-79.0,4.19,0.0,-75.0,4.15,0.0,-78.0,4.17,0.0,,,0.0,-72,,0.0,-73.0,,0.0,,,0.0,1,1
-61,4.18,0.0,-82.0,4.18,0.0,-74.0,,0.0,-80.0,,0.0,-83.0,4.15,0.0,-77,,0.0,-72.0,,0.0,,,0.0,1,1
-61,4.18,0.0,-75.0,,0.0,-74.0,4.17,0.0,-81.0,4.17,0.0,,,0.0,-79,,0.0,-72.0,,0.0,,,0.0,1,1
-61,4.19,0.0,-76.0,4.2,0.0,-75.0,4.16,0.0,-80.0,4.16,0.0,,,0.0,-78,4.15,0.0,-72.0,4.17,0.0,,,0.0,1,1
-62,4.18,0.0,-77.0,4.18,0.0,-74.0,4.17,0.0,-77.0,4.16,0.0,-78.0,,0.0,-76,4.13,0.0,-72.0,,0.0,,,0.0,1,1
-58,4.2,0.0,-60.0,4.2,0.0,-72.0,4.17,0.0,-63.0,4.17,0.0,,,0.0,-66,,0.0,-78.0,,0.0,-78.0,4.18,0.0,3,1
-59,4.18,0.0,-59.0,4.19,0.0,-71.0,4.16,0.0,-64.0,,0.0,,,0.0,-66,,0.0,-76.0,4.15,0.0,-77.0,4.19,0.0,3,1
-60,4.2,0.0,-60.0,4.18,0.0,-71.0,4.16,0.0,-64.0,4.17,0.0,-83.0,4.15,0.0,-67,4.14,0.0,-78.0,,0.0,-78.0,4.18,0.0,3,1
-59,4.18,0.0,-60.0,,0.0,-71.0,,0.0,-64.0,4.16,0.0,,,0.0,-67,4.13,0.0,-80.0,4.16,0.0,-78.0,4.18,0.0,3,1
-60,,0.0,-60.0,4.19,0.0,-71.0,,0.0,-64.0,4.17,0.0,,,0.0,-67,,0.0,-78.0,,0.0,-78.0,4.18,0.0,3,1
-59,4.18,0.0,-59.0,4.18,0.0,-71.0,4.16,0.0,-63.0,4.16,0.0,,,0.0,-67,4.13,0.0,-79.0,,0.0,-76.0,4.18,0.0,3,1
-59,,0.0,-60.0,4.2,0.0,-72.0,4.16,0.0,-64.0,4.17,0.0,-84.0,4.15,0.0,-66,4.14,0.0,-78.0,,0.0,-77.0,4.18,0.0,3,1
-59,4.18,0.0,-60.0,4.19,0.0,-72.0,,0.0,-64.0,,0.0,-85.0,4.16,0.0,-67,,0.0,-78.0,,0.0,-77.0,4.18,0.0,3,1
-59,4.18,0.0,-59.0,,0.0,-72.0,4.16,0.0,-63.0,4.17,0.0,-83.0,,0.0,-67,4.13,0.0,-79.0,4.16,0.0,-76.0,4.2,0.0,3,1
-59,4.19,0.0,-60.0,4.2,0.0,-73.0,,0.0,-63.0,,0.0,,,0.0,-67,,0.0,-78.0,4.16,0.0,-76.0,4.19,0.0,3,1
-63,,0.0,-66.0,4.2,0.0,-67.0,4.17,0.0,-70.0,4.18,0.0,-80.0,,0.0,-67,,0.0,-74.0,,0.0,-76.0,4.18,0.0,5,1
-63,,0.0,-70.0,4.19,0.0,-67.0,,0.0,-69.0,4.17,0.0,-80.0,,0.0,-66,4.14,0.0,-75.0,,0.0,-76.0,4.18,0.0,5,1
-63,4.18,0.0,-67.0,4.2,0.0,-68.0,4.16,0.0,-68.0,,0.0,-82.0,4.16,0.0,-65,4.14,0.0,-75.0,,0.0,-75.0,4.19,0.0,5,1
-64,4.19,0.0,-69.0,,0.0,-70.0,4.17,0.0,-68.0,4.16,0.0,-83.0,4.15,0.0,-65,,0.0,-73.0,4.17,0.0,-75.0,4.18,0.0,5,1
-63,,0.0,-67.0,4.19,0.0,-68.0,4.16,0.0,-69.0,4.16,0.0,,,0.0,-65,4.16,0.0,-74.0,,0.0,-76.0,4.18,0.0,5,1
-63,4.19,0.0,-68.0,4.18,0.0,-69.0,4.16,0.0,-70.0,4.17,0.0,,,0.0,-65,,0.0,-74.0,4.16,0.0,-77.0,4.18,0.0,5,1
-63,,0.0,-67.0,4.19,0.0,-68.0,,0.0,-68.0,,0.0,,,0.0,-65,4.13,0.0,-75.0,,0.0,-75.0,,0.0,5,1
-63,4.18,0.0,-68.0,4.19,0.0,-69.0,4.16,0.0,-69.0,,0.0,-80.0,4.15,0.0,-65,4.13,0.0,-74.0,4.16,0.0,-76.0,4.19,0.0,5,1
-63,4.19,0.0,-69.0,,0.0,-69.0,,0.0,-68.0,4.16,0.0,-82.0,4.16,0.0,-65,,0.0,-74.0,4.16,0.0,-76.0,4.19,0.0,5,1
-63,4.18,0.0,-69.0,4.19,0.0,-68.0,4.14,0.0,-68.0,4.16,0.0,-82.0,4.15,0.0,-65,4.14,0.0,-74.0,,0.0,-76.0,,0.0,5,1
-64,4.18,0.0,-63.0,4.18,0.0,-69.0,4.18,0.0,-74.0,4.18,0.0,,,0.0,-72,,0.0,-77.0,,0.0,,,0.0,7,1
-72,,0.0,-64.0,4.2,0.0,-69.0,4.18,0.0,-63.0,4.16,0.0,,,0.0,-73,,0.0,-81.0,,0.0,,,0.0,7,1
-71,,0.0,-64.0,4.18,0.0,-68.0,4.16,0.0,-63.0,4.16,0.0,,,0.0,-73,4.13,0.0,-80.0,4.16,0.0,,,0.0,7,1
-72,4.18,0.0,-63.0,4.2,0.0,-65.0,4.16,0.0,-64.0,4.17,0.0,,,0.0,-72,4.13,0.0,-78.0,4.16,0.0,,,0.0,7,1
-68,4.19,0.0,-64.0,4.18,0.0,-64.0,4.17,0.0,-65.0,4.18,0.0,,,0.0,-72,4.13,0.0,,,0.0,,,0.0,7,1
-70,4.19,0.0,-64.0,4.2,0.0,-66.0,4.17,0.0,-65.0,,0.0,,,0.0,-72,4.13,0.0,,,0.0,,,0.0,7,1
-70,4.18,0.0,-64.0,4.17,0.0,-67.0,4.17,0.0,-66.0,,0.0,,,0.0,-72,4.13,0.0,-85.0,4.16,0.0,,,0.0,7,1
-70,4.19,0.0,-64.0,4.18,0.0,-66.0,4.16,0.0,-65.0,,0.0,,,0.0,-72,4.15,0.0,-83.0,4.16,0.0,,,0.0,7,1
-68,4.19,0.0,-63.0,4.18,0.0,-66.0,4.17,0.0,-65.0,4.16,0.0,,,0.0,-72,4.15,0.0,-84.0,,0.0,,,0.0,7,1
-70,4.18,0.0,-64.0,,0.0,-66.0,4.16,0.0,-65.0,4.18,0.0,,,0.0,-72,4.13,0.0,,,0.0,,,0.0,7,1
-67,4.18,0.0,-67.0,4.18,0.0,,,0.0,-69.0,4.17,0.0,-74.0,,0.0,-75,4.14,0.0,-76.0,,0.0,-76.0,,0.0,1,3
-67,,0.0,-66.0,4.19,0.0,-77.0,4.17,0.0,-68.0,4.18,0.0,-73.0,,0.0,-73,4.13,0.0,-76.0,,0.0,-75.0,4.18,0.0,1,3
-67,4.2,0.0,-66.0,4.19,0.0,-77.0,4.17,0.0,-67.0,,0.0,-73.0,,0.0,-73,4.14,0.0,-77.0,4.16,0.0,-76.0,4.19,0.0,1,3
-67,4.19,0.0,-66.0,4.18,0.0,-76.0,4.17,0.0,-67.0,4.17,0.0,-73.0,4.16,0.0,-73,4.14,0.0,-77.0,4.16,0.0,-76.0,4.18,0.0,1,3
-67,,0.0,-67.0,4.19,0.0,-78.0,4.16,0.0,-68.0,4.16,0.0,-73.0,4.15,0.0,-73,,0.0,-76.0,4.16,0.0,-76.0,,0.0,1,3
-67,4.19,0.0,-67.0,4.2,0.0,-77.0,4.14,0.0,-67.0,4.17,0.0,-73.0,,0.0,-73,4.13,0.0,-76.0,4.15,0.0,-76.0,,0.0,1,3
-66,,0.0,-67.0,4.19,0.0,-77.0,4.16,0.0,-67.0,,0.0,-73.0,4.14,0.0,-73,4.13,0.0,-76.0,4.16,0.0,-75.0,4.18,0.0,1,3
-66,4.18,0.0,-67.0,4.19,0.0,-77.0,4.17,0.0,-67.0,4.16,0.0,-73.0,,0.0,-73,4.14,0.0,-76.0,4.16,0.0,-76.0,4.18,0.0,1,3
-67,4.19,0.0,-67.0,4.18,0.0,-76.0,4.16,0.0,-68.0,,0.0,-73.0,4.14,0.0,-73,,0.0,-76.0,4.16,0.0,-76.0,4.19,0.0,1,3
