X_Coord,Y_Coord,Tx_0 RSSI_Avg,Tx_1 RSSI_Avg,Tx_2 RSSI_Avg,Tx_3 RSSI_Avg,Tx_4 RSSI_Avg,Tx_5 RSSI_Avg,Tx_6 RSSI_Avg,Tx_7 RSSI_Avg
0,0,-59.98434484506488,-70.25312415092878,-71.05324835918672,-72.37188470263332,-73.13357482958052,-79.2676721668751,-85.17168177761164,-75.64494164950602
0,0,-59.97857367549899,-71.09185242450852,-73.20726802815949,-70.97175238781067,-73.52889107975787,-78.0371222258264,-79.67229759924129,-77.21771475459674
0,0,-61.611949926620824,-67.14576071592485,-73.2168139260086,-75.44426732819076,-71.22210204302955,-77.78324213806772,-84.06744348863838,-77.49513661683824
0,0,-61.93183759936203,-68.798995621184,-74.04604690101735,-73.79946125022367,-71.73712055057496,-78.97885499905397,-84.50095197151522,-76.6471828759194
0,0,-60.371543337705944,-70.38973892936187,-73.94606827350484,-72.99772093627868,-69.59803024322444,-78.69373267137128,-86.5754089406105,-80.41026788289194
0,0,-61.76231105770232,-70.98277478866395,-72.87108924531097,-74.85069662566504,-71.74928069077663,-78.97266536179819,-84.81427236815135,-79.2905773445262
0,0,-61.046498741724434,-70.20623533713332,-71.35803566219931,-77.3198320696217,-73.03214160894241,-77.89228086432686,-82.82684295881536,-76.63600426087119
0,0,-64.60198665903182,-68.59824807174472,-72.00183344607169,-73.98800452909023,-72.52681989885856,-76.37955818631053,-86.55043792768879,-74.56255377829143
0,0,-59.756187143407345,-73.02859119208188,-71.86321603686014,-72.69046393866647,-71.04830129708998,-77.31837876612556,-77.96755556651924,-76.25635266176513
0,0,-60.15863033534009,-63.25575677877882,-70.35131571888633,-75.71993015631173,-72.80255654414157,-79.67719229672579,-82.22669269418232,-79.35642530933147
0,0,-60.795136616838235,-65.90460913611498,-70.7962631909486,-73.98491929050269,-71.22210204302955,-79.2676721668751,-83.5148786973844,-73.59042558385207
0,0,-59.76002602751565,-68.38199946683982,-69.69433605158915,-74.42559522235285,-72.81958249974267,-78.00450245262248,-83.87895934999229,-78.36416474571664
0,0,-57.30303331125738,-67.34419809232894,-75.8095754057652,-74.21253118605424,-70.72670160320389,-76.2628621651339,-84.35955688007991,-75.18776226421858
