Tx_0 RSSI,Tx_0 Batt,Tx_0 Time,Tx_1 RSSI,Tx_1 Batt,Tx_1 Time,Tx_2 RSSI,Tx_2 Batt,Tx_2 Time,Tx_3 RSSI,Tx_3 Batt,Tx_3 Time,Tx_4 RSSI,Tx_4 Batt,Tx_4 Time,Tx_5 RSSI,Tx_5 Batt,Tx_5 Time,Tx_6 RSSI,Tx_6 Batt,Tx_6 Time,Tx_7 RSSI,Tx_7 Batt,Tx_7 Time
-66,4.16,14-40-21,-57,-2.0,14-40-26,-66,4.11,14-40-28,-62,4.11,14-40-29,-68,-2.0,14-40-35,-73,4.07,14-40-37,-79,-2.0,14-40-43,-76,-2.0,14-40-48
-65,-2.0,14-40-54,-57,4.13,14-40-55,-68,4.12,14-40-57,-62,-2.0,14-41-02,-67,-2.0,14-41-07,-74,4.09,14-41-10,-79,-2.0,14-41-15,-76,-2.0,14-41-21
-65,-2.0,14-41-27,-57,4.14,14-41-28,-69,4.11,14-41-31,-61,4.11,14-41-32,-68,4.09,14-41-33,-72,4.09,14-41-35,-77,-2.0,14-41-42,-76,-2.0,14-41-49
-65,4.16,14-41-50,-56,4.13,14-41-51,-69,4.12,14-41-54,-61,4.11,14-41-55,-68,4.11,14-41-56,-72,-2.0,14-42-01,-78,4.11,14-42-03,-76,4.1,14-42-05
-65,4.15,14-42-07,-56,4.13,14-42-09,-69,4.11,14-42-10,-61,4.11,14-42-12,-68,4.11,14-42-15,-72,4.07,14-42-16,-77,4.12,14-42-18,-76,4.09,14-42-19
-65,4.15,14-42-20,-56,4.13,14-42-21,-69,4.13,14-42-23,-61,4.11,14-42-24,-68,4.1,14-42-26,-72,4.09,14-42-27,-77,4.12,14-42-30,-76,4.1,14-42-32
-65,4.16,14-42-34,-56,4.14,14-42-36,-69,-2.0,14-42-41,-61,4.11,14-42-43,-69,4.11,14-42-44,-74,4.07,14-42-46,-78,4.12,14-42-47,-75,4.1,14-42-49
-65,-2.0,14-42-55,-56,4.12,14-42-56,-69,4.12,14-42-59,-62,4.11,14-43-01,-69,4.1,14-43-02,-73,4.09,14-43-06,-77,-2.0,14-43-11,-75,-2.0,14-43-17
-64,-2.0,14-43-22,-56,4.13,14-43-23,-69,4.11,14-43-25,-62,4.1,14-43-26,-69,4.1,14-43-27,-73,4.09,14-43-29,-77,4.12,14-43-32,-75,4.09,14-43-33
-66,4.16,14-43-36,-56,4.14,14-43-38,-69,4.13,14-43-40,-62,-2.0,14-43-45,-68,4.1,14-43-46,-73,4.08,14-43-48,-77,-2.0,14-43-54,-76,4.11,14-43-56
-64,4.14,14-43-58,-56,4.13,14-43-59,-69,-2.0,14-44-06,-62,4.11,14-44-07,-69,4.1,14-44-08,-72,4.08,14-44-11,-76,4.11,14-44-12,-75,4.11,14-44-15
-64,4.16,14-44-17,-56,4.13,14-44-18,-69,4.12,14-44-19,-61,4.1,14-44-20,-69,4.11,14-44-22,-73,-2.0,14-44-27,-77,4.13,14-44-29,-75,4.11,14-44-31
-65,4.16,14-44-32,-56,4.14,14-44-33,-69,4.11,14-44-36,-62,4.12,14-44-37,-69,4.11,14-44-39,-73,4.08,14-44-41,-77,4.13,14-44-42,-75,4.11,14-44-43
-65,4.16,14-44-45,-56,4.13,14-44-48,-69,4.11,14-44-49,-62,4.12,14-44-50,-68,4.1,14-44-53,-72,-2.0,14-44-58,-77,4.12,14-45-02,-75,4.1,14-45-04
-65,-2.0,14-45-10,-56,4.13,14-45-11,-69,4.11,14-45-13,-61,4.11,14-45-14,-69,4.11,14-45-17,-72,4.08,14-45-18,-75,4.11,14-45-23,-72,4.1,14-45-25
-65,-2.0,14-45-31,-57,-2.0,14-45-36,-68,4.12,14-45-39,-62,4.11,14-45-41,-68,-2.0,14-45-46,-72,4.08,14-45-48,-77,-2.0,14-45-54,-75,4.1,14-45-55
-64,4.14,14-45-57,-56,4.13,14-46-00,-68,4.12,14-46-01,-62,4.11,14-46-02,-68,4.11,14-46-05,-72,4.08,14-46-06,-77,-2.0,14-46-11,-75,4.09,14-46-13
-64,4.15,14-46-15,-56,4.13,14-46-17,-68,4.11,14-46-19,-62,4.1,14-46-20,-64,4.09,14-46-22,-72,4.08,14-46-24,-77,-2.0,14-46-29,-75,4.11,14-46-30
-64,4.16,14-46-32,-56,4.13,14-46-34,-68,4.11,14-46-35,-62,-2.0,14-46-41,-68,-2.0,14-46-46,-73,4.06,14-46-47,-77,-2.0,14-46-53,-75,4.11,14-46-54
-64,4.16,14-46-56,-56,4.13,14-46-57,-68,4.12,14-46-58,-62,4.11,14-47-00,-68,4.11,14-47-03,-72,4.07,14-47-04,-77,4.13,14-47-07,-75,4.11,14-47-09
