Timestamp,RSSI
89192,-68
89210,-68
89230,-68
89250,-77
89270,-82
89288,0
89307,-68
89326,-78
89345,-68
89363,0
89383,-68
89405,-68
89424,-84
89443,-77
89463,-84
89480,-82
89499,-72
89518,-80
89536,-68
89554,-76
89574,-78
89593,-70
89614,-68
89633,-74
89652,0
89671,-78
89691,0
89711,-75
89729,-75
89752,-68
89772,-68
89793,-69
89812,-69
89831,0
89850,-77
89869,-72
89889,-78
89909,-87
89929,-80
89956,0
89976,-77
89995,0
90016,-83
90034,0
90052,-72
90072,-69
90092,-69
90112,-79
90131,-69
90153,-68
90177,-81
90198,-90
90219,-68
90239,-82
90259,0
90280,-69
90300,-82
90322,-82
90347,-88
90369,-70
90390,-71
90410,-86
90430,-70
90450,-69
90469,-76
90489,-84
90508,-88
90533,-69
90556,-74
90577,-71
90600,-70
90620,-87
90644,0
90662,-68
90685,-85
90704,-77
90723,-77
90746,-68
90766,-69
90785,-73
90803,-69
90824,-69
90847,-82
90867,-69
90888,-70
90912,-69
90932,-76
90952,-79
90973,-69
90993,-74
91016,-81
91034,-69
91053,-69
91077,-86
91098,-76
91118,-69
91138,-77
91157,-74
91182,-69
91204,-80
91223,-68
91247,-69
91269,-79
91290,-70
91314,-69
91333,-68
91356,-85
91376,-71
91397,-68
91425,-79
91447,-84
91467,-69
91487,-78
91512,-69
91535,0
91553,-77
91577,-76
91600,-68
91622,-69
91642,-71
91666,0
91686,-84
91707,-69
91730,-69
91751,-70
91772,-84
91796,-69
91815,-69
91835,-70
91855,-76
91874,-77
91893,-83
91913,0
91936,-77
91956,-76
91976,-72
91997,-72
92024,-69
92044,-69
92067,-78
92087,-69
92112,-81
92133,-76
92153,-79
92179,-81
92198,-68
92217,-75
92237,-72
92258,-69
92279,-74
92297,-77
92327,-79
92348,-79
92365,-68
92384,-68
92404,-68
92423,-73
92446,-68
92466,-72
92485,-73
92505,-69
92524,-75
92544,-68
92563,-77
92584,-71
92603,-69
92623,-68
92648,-69
92666,-71
92686,-76
92707,-69
92731,-77
92751,-76
92772,-81
92798,-76
92817,-70
92839,-72
92857,-83
92876,-71
92896,-70
92916,-76
92936,-76
92956,-69
92981,0
93001,-68
93020,-76
93040,-75
93059,-70
93079,-76
93100,-71
93121,-70
93145,-68
93164,-68
93184,-68
93203,-87
93224,-68
93244,-88
93264,-69
93283,-77
93303,-68
93327,-70
93346,-77
93366,-68
93386,-77
93407,-83
93436,-76
93459,-89
93479,-75
93498,-77
93517,-76
93537,-68
93560,-88
93580,-68
93600,-72
93625,-75
93644,-76
93667,-71
93687,-70
93705,-68
93727,-72
93747,-68
93767,0
93784,-72
93803,0
93824,-75
93843,-78
93867,-80
93894,-77
93913,-74
93933,-69
93954,-72
93981,-68
94005,-74
94023,-74
94047,-82
94066,0
94083,-78
94103,-68
94124,-88
94143,-68
94163,0
94182,-68
94206,-77
94226,-80
94246,-68
94266,-69
94285,-89
94306,-68
94326,-68
94344,-77
94363,-69
94383,-68
94404,-69
94426,-73
94446,-82
94466,-73
94485,-77
94505,-68
94525,-69
94545,-72
94565,0
94584,-77
94610,0
94630,-70
94650,-77
94671,-69
94692,-77
94713,-72
94733,-69
94753,-77
94773,-76
94793,-80
94814,-69
94832,-68
94856,-70
94877,0
94895,-71
94914,-69
94933,-72
94953,-68
94973,-77
94996,-85
95018,-91
95038,-80
95057,-69
95076,0
95096,-74
95115,-69
95134,-69
95154,-71
95173,-86
95194,-80
95216,-69
95238,0
95258,-70
95278,-71
95300,-68
95319,-92
95338,-78
95356,-68
95377,-68
95398,-75
95416,-69
95436,-68
95455,-77
95474,-68
95497,-77
95520,-68
95538,-87
95557,-75
95581,-78
95606,-68
95625,-69
95644,-92
95663,0
95682,-67
95704,0
95723,-68
95743,0
95766,-85
95787,-68
95807,-68
95828,-69
95847,0
95865,-68
95890,-67
95910,-79
95930,-67
95949,-68
95967,-91
95988,0
96006,-68
96026,-69
96046,-90
96065,-68
96084,-77
96103,0
96122,0
96140,-90
96158,-75
96179,-70
96204,-71
96226,-71
96245,-69
96265,-92
96285,-69
96303,-67
96324,-67
96343,-68
96368,-69
96387,-85
96411,-68
96434,0
96454,-68
96473,-67
96493,-69
96513,-77
96534,-68
96554,-89
96578,-68
96598,-68
96617,-71
96640,-76
96661,-84
96685,-82
96704,-77
96724,-89
96744,-68
96766,-82
96785,-78
96809,-69
96829,-67
96849,-68
96868,-69
96888,-75
96908,-67
96926,-85
96952,-88
96974,-68
96994,-78
97013,-71
97033,-68
97053,-83
97074,-76
97093,-76
97113,-76
97134,-77
97154,-72
97173,-68
97194,-77
97213,-77
97234,-89
97257,-68
97277,-69
97300,-74
97320,-67
97340,-76
97359,-68
97380,-68
97399,-77
97419,-67
97439,-68
97458,-68
97477,-68
97497,-75
97522,-71
97547,-69
97566,-69
97587,-81
97610,-68
97630,-68
97649,-71
97670,-77
97690,-71
97715,-68
97735,-68
97755,-68
97773,-89
97794,-88
97814,-77
97832,-70
97852,-72
97872,-77
97891,-75
97909,-77
97928,-69
97947,-68
97968,-83
97994,-80
98013,-76
98033,-76
98055,-76
98075,-68
98094,-75
98113,-69
98133,-75
98154,-68
98174,-82
98193,-71
98213,-72
98237,-77
98257,-69
98282,-87
98303,-69
98323,-77
98344,-69
98363,-84
98384,-76
98404,-76
98423,-69
98448,-69
98467,-69
98488,-69
98510,0
98539,-69
98562,-77
98585,-88
98605,-69
98628,-72
98647,-69
98666,-69
98686,-69
98708,-69
98730,0
98750,-70
98773,-69
98792,-72
98814,-71
98833,0
98853,-69
98873,-89
98894,-74
98914,-68
98933,-76
98954,-72
98974,-76
98994,-87
99014,0
99033,-77
99054,-78
99075,-68
99095,-69
99116,-77
99138,-84
99158,-69
99176,-74
99196,-68
99215,-71
99234,-67
99258,-69
99278,-68
99299,-80
99320,-69
99342,-68
99362,-68
99383,-68
99405,-78
99423,-68
99444,-78
99463,-80
99484,-68
99505,0
99529,-68
99546,0
99564,-79
99586,-67
99604,-91
99624,-68
99642,-68
99660,-76
99680,-91
99699,-87
99718,-68
99739,-68
99759,-68
99777,-68
99795,-77
99813,-91
99831,-83
99854,-69
99871,-75
99888,0
99909,-78
99929,0
99949,-85
99967,-76
99986,-68
100003,-68
100022,-69
100039,-67
100057,-71
100075,-68
100094,0
100116,0
100133,-68
100150,0
100168,-83
100185,-72
100206,0
100225,-80
100246,-67
100266,0
100282,-68
100299,-69
100321,-79
100338,-68
100356,-67
100375,-68
100397,-73
100414,-70
100435,-70
100456,-69
100473,-92
100490,-68
100508,-68
100525,-68
100547,-70
100564,0
100582,-67
100599,0
100616,-92
100633,-83
100650,-68
100666,0
100682,-68
100699,-69
100716,-91
100736,0
100753,-92
100771,-74
100788,-68
100805,-68
100827,-87
100844,-68
100862,-67
100880,-68
100897,-68
100914,0
100936,-69
100953,-68
100969,-82
100986,-68
101002,-90
101019,-69
101038,-69
101055,0
101076,0
101096,-85
101113,-69
101136,-78
101160,-89
101178,-72
101195,0
101214,-85
101234,0
101255,0
101274,-77
101298,-80
101316,-70
101333,-68
101351,-76
101369,-68
101387,-68
101404,-77
101422,-73
101440,-72
101457,-85
101474,-76
101493,-68
101510,-76
