Tx_0 RSSI,Tx_0 Batt,Tx_0 Time,Tx_1 RSSI,Tx_1 Batt,Tx_1 Time,Tx_2 RSSI,Tx_2 Batt,Tx_2 Time,Tx_3 RSSI,Tx_3 Batt,Tx_3 Time,Tx_4 RSSI,Tx_4 Batt,Tx_4 Time,Tx_5 RSSI,Tx_5 Batt,Tx_5 Time,Tx_6 RSSI,Tx_6 Batt,Tx_6 Time,Tx_7 RSSI,Tx_7 Batt,Tx_7 Time
-78,4.12,15-36-29,-68,4.1,15-36-33,-69,4.1,15-36-35,-69,4.08,15-36-36,127,-99.0,15-36-41,-75,4.05,15-36-43,-73,4.11,15-36-45,-72,4.06,15-36-47
-81,-2.0,15-36-52,-66,4.11,15-36-53,-68,4.07,15-36-57,-71,4.08,15-36-58,127,-99.0,15-37-04,-77,4.05,15-37-05,-73,4.1,15-37-06,-73,4.06,15-37-09
-77,4.11,15-37-10,-71,4.11,15-37-12,-69,4.09,15-37-13,-70,4.07,15-37-14,127,-99.0,15-37-19,-76,-2.0,15-37-24,-71,4.11,15-37-26,-77,-2.0,15-37-32
-80,4.11,15-37-33,-71,-2.0,15-37-38,-70,-2.0,15-37-44,-69,-2.0,15-37-49,127,-99.0,15-37-54,-78,4.06,15-37-58,-72,4.11,15-38-00,-75,4.06,15-38-04
-80,-2.0,15-38-10,-71,4.11,15-38-11,-71,4.08,15-38-12,-70,4.08,15-38-13,127,-99.0,15-38-19,-84,4.06,15-38-20,-73,4.1,15-38-21,-75,4.06,15-38-23
-81,4.11,15-38-26,-70,4.11,15-38-29,-72,4.09,15-38-31,-71,4.09,15-38-34,127,-99.0,15-38-39,-81,-2.0,15-38-46,-72,-2.0,15-38-51,-73,-2.0,15-38-57
-78,4.13,15-39-00,-68,-2.0,15-39-06,-71,4.09,15-39-07,-72,4.09,15-39-09,127,-99.0,15-39-14,-79,-2.0,15-39-19,-75,-2.0,15-39-25,-73,4.06,15-39-27
-81,4.11,15-39-32,-62,4.11,15-39-33,-68,4.09,15-39-35,-71,-2.0,15-39-40,127,-99.0,15-39-46,-79,-2.0,15-39-51,-75,4.09,15-39-52,-71,-2.0,15-39-57
-79,4.11,15-39-58,-67,-2.0,15-40-04,-71,4.09,15-40-06,-79,4.09,15-40-08,-85,-2.0,15-40-15,-76,4.05,15-40-17,-74,-2.0,15-40-22,-73,4.06,15-40-24
-77,4.11,15-40-26,-69,4.12,15-40-28,-74,4.09,15-40-29,-75,4.09,15-40-31,-85,-2.0,15-40-39,-75,4.06,15-40-41,-74,4.1,15-40-43,-73,4.06,15-40-45
-80,4.12,15-40-47,-65,4.11,15-40-48,-75,4.09,15-40-50,-75,4.09,15-40-51,127,-99.0,15-40-56,-75,4.05,15-40-58,-76,-2.0,15-41-03,-75,4.05,15-41-06
-80,4.12,15-41-08,-64,4.11,15-41-10,-72,-2.0,15-41-16,-74,4.08,15-41-17,127,-99.0,15-41-22,-74,-2.0,15-41-27,-76,-2.0,15-41-32,-73,4.07,15-41-35
-79,4.1,15-41-36,-65,4.11,15-41-37,-74,4.08,15-41-40,-76,4.07,15-41-41,127,-99.0,15-41-46,-74,-2.0,15-41-51,-76,-2.0,15-41-56,-76,4.04,15-41-58
-80,4.11,15-41-59,-65,4.11,15-42-00,-73,4.09,15-42-02,-75,4.09,15-42-04,-80,-2.0,15-42-09,-75,4.05,15-42-12,-75,4.11,15-42-13,-81,4.06,15-42-15
-78,4.11,15-42-16,-72,4.09,15-42-18,-70,4.09,15-42-19,-76,4.08,15-42-21,-85,4.07,15-42-24,-79,4.06,15-42-26,-73,4.1,15-42-28,-76,4.04,15-42-30
-80,4.02,15-42-32,-65,4.09,15-42-33,-76,4.08,15-42-35,-77,4.08,15-42-37,-80,4.06,15-42-39,-79,4.03,15-42-40,-76,4.11,15-42-43,-78,4.05,15-42-45
-80,4.11,15-42-49,-66,-2.0,15-42-54,-72,4.08,15-42-57,-73,4.08,15-42-58,-83,4.08,15-43-01,-73,4.06,15-43-03,-76,4.1,15-43-05,-75,4.06,15-43-08
-78,4.11,15-43-10,-64,4.11,15-43-12,-72,4.09,15-43-13,-76,4.07,15-43-15,-83,4.08,15-43-17,-71,4.05,15-43-19,-75,4.1,15-43-21,-76,4.06,15-43-23
-77,4.11,15-43-26,-63,4.11,15-43-29,-74,4.09,15-43-30,-73,4.08,15-43-32,-85,4.08,15-43-34,-74,-2.0,15-43-40,-73,4.1,15-43-42,-74,4.06,15-43-45
-79,4.09,15-43-46,-65,4.11,15-43-48,-74,-2.0,15-43-53,-75,4.09,15-43-55,-82,-2.0,15-44-00,-75,4.06,15-44-02,-75,4.11,15-44-04,-74,4.05,15-44-06
