Tx_0 RSSI,Tx_1 RSSI,Tx_2 RSSI,Tx_3 RSSI,Tx_4 RSSI,Tx_5 RSSI,Tx_6 RSSI,Tx_7 RSSI,X_Coord,Y_Coord
-54,-77,-74,127,127,-78,127,-71,0,0
-54,-77,127,-81,127,127,-81,-71,0,0
-54,127,127,127,127,127,127,-71,0,0
-54,-77,-74,-82,127,127,-82,-70,0,0
-54,-77,127,127,127,-78,-80,-70,0,0
-54,-78,-75,127,127,127,-79,127,0,0
-54,-78,127,127,127,-77,-81,-71,0,0
-54,127,127,-82,127,-77,127,-71,0,0
-54,-76,-74,-83,127,127,-79,-71,0,0
-54,-76,127,-83,127,127,-80,-71,0,0
-54,127,-75,-83,127,-79,-79,-71,0,0
-54,-77,-75,-83,127,-78,-79,-71,0,0
-54,-77,-75,127,127,-78,-79,-71,0,0
-54,-76,127,127,127,-78,-79,-71,0,0
-54,-76,127,-80,127,127,-80,127,0,0
-54,-77,-74,-83,127,-77,127,-72,0,0
-54,127,-74,127,127,-78,-80,-71,0,0
-54,127,-74,127,127,-78,-81,-71,0,0
-54,-76,-74,-85,127,-77,127,-71,0,0
-54,-77,127,-83,127,127,-80,-71,0,0
-54,127,127,127,127,-78,-79,-71,0,0
-54,-77,127,-84,127,-78,-80,-71,0,0
-54,-77,127,127,127,-78,-79,127,0,0
-54,-76,127,-83,127,127,-80,127,0,0
-54,-77,-73,127,127,127,-79,-71,0,0
-54,-77,-74,-84,127,-78,127,-71,0,0
-54,-77,-74,127,127,-78,-80,-71,0,0
-54,-76,127,127,127,-79,-80,-71,0,0
-54,127,127,-81,127,127,127,-71,0,0
-54,-76,-74,127,127,-77,127,-71,0,0
-54,127,127,127,127,127,-81,-72,0,0
-54,127,127,127,127,127,-80,-71,0,0
-54,-76,-74,-80,127,-79,-80,-71,0,0
-54,-75,127,-82,127,127,-80,-71,0,0
-54,-76,-75,-81,127,-78,-80,127,0,0
-54,127,127,-81,127,-78,-79,-71,0,0
-54,-76,127,-81,127,-78,-79,-71,0,0
-54,-75,127,-83,127,-78,-79,-72,0,0
-54,-76,127,127,127,-78,127,-71,0,0
-54,-77,127,-82,127,-77,-80,-71,0,0
-54,-77,127,127,127,-77,-80,-71,0,0
-54,-77,-74,127,127,-78,-80,-71,0,0
-54,-77,127,127,127,127,127,-71,0,0
-54,-76,127,-84,127,127,127,-71,0,0
-54,127,127,127,127,127,-80,-71,0,0
-54,-77,127,-83,127,127,-80,-71,0,0
-54,-77,127,127,127,-78,127,-71,0,0
-54,-76,127,127,127,127,127,-71,0,0
-54,-76,127,127,127,-78,-79,-71,0,0
-54,-76,-74,-84,127,127,-80,-71,0,0
-54,-76,127,127,127,-78,127,-71,0,0
-54,-76,-74,-84,127,-77,-80,-71,0,0
-54,-77,-74,127,127,-78,-81,-71,0,0
-54,-76,127,127,127,127,-78,-71,0,0
-54,127,127,127,127,-77,-78,127,0,0
-54,-76,-74,127,127,127,-80,-71,0,0
-54,-76,127,127,127,-77,-79,-70,0,0
-54,127,-74,127,127,-78,127,127,0,0
-54,-76,127,-83,127,127,-79,-73,0,0
-54,127,127,127,127,127,-80,-72,0,0
-54,127,127,-82,127,-78,-79,-72,0,0
-54,-76,127,-82,127,127,127,-72,0,0
-54,127,-74,-82,127,-78,-80,-72,0,0
-54,-76,-74,127,127,127,-80,-72,0,0
-54,-76,-73,127,127,127,-79,-72,0,0
-54,-77,-73,127,127,-78,-80,-72,0,0
-54,-76,-73,-82,-88,127,-80,-72,0,0
-54,-77,127,-82,127,127,-80,-72,0,0
-54,127,-74,-82,127,-78,-80,-71,0,0
-54,127,-75,127,127,-78,-79,127,0,0
-54,127,127,-82,127,-77,-79,-71,0,0
-54,-76,127,-82,127,127,-81,-71,0,0
-54,127,-74,127,127,127,-79,-71,0,0
-54,127,-74,-81,127,127,-81,-72,0,0
-54,127,-74,-82,127,-78,-80,-72,0,0
-54,-76,127,-79,127,127,-80,-72,0,0
-54,-77,127,127,127,-79,-80,-72,0,0
-54,-76,-74,127,127,-79,-80,-72,0,0
-54,-77,-74,-81,127,127,127,-72,0,0
-54,127,127,-81,127,-79,-79,-72,0,0
-54,-76,127,127,127,-78,-80,-72,0,0
-54,-76,-74,-80,127,-78,-81,-71,0,0
-54,-76,-75,-80,127,127,-80,-71,0,0
-54,127,-74,-80,127,-78,-80,-72,0,0
-54,-75,-74,-79,127,127,127,-72,0,0
-54,-76,127,-81,127,127,-78,-72,0,0
-54,-78,-74,127,127,127,-79,-72,0,0
-54,-77,127,-82,127,127,-78,-71,0,0
-54,-76,-74,127,127,-78,-79,-72,0,0
-54,-77,-73,127,127,-78,-79,-71,0,0
-54,127,127,127,127,-79,-79,-71,0,0
-54,127,127,127,127,-78,-79,-72,0,0
127,-77,-74,127,127,127,-79,-72,0,0
-54,-77,-74,-80,127,127,-79,-72,0,0
-54,-77,-74,-80,127,127,-79,-72,0,0
-54,-77,-74,-80,127,-78,-79,-71,0,0
-54,-77,-74,-83,127,127,-80,-71,0,0
-54,-78,127,-82,127,-78,-80,-71,0,0
-54,127,127,-80,127,-79,-79,-72,0,0
-54,-77,-74,127,127,127,-80,127,0,0
-54,127,-74,-83,127,-80,-80,-72,0,0
-54,-77,127,127,127,-79,-79,-72,0,0
-54,-77,-74,127,127,-78,-80,-72,0,0
-54,-77,127,127,127,-80,-80,-72,0,0
-54,-77,-74,127,127,-78,-80,-71,0,0
-54,-77,-74,127,127,-78,-80,127,0,0
-54,-76,127,127,127,-78,-79,-71,0,0
-54,-76,-75,127,127,127,127,-71,0,0
-54,-78,-75,-82,127,127,-80,127,0,0
127,-76,-75,127,127,-78,-80,-71,0,0
-54,-77,127,127,127,-78,127,-71,0,0
-54,-76,127,127,127,127,-80,-71,0,0
-54,127,127,127,127,127,-80,-71,0,0
-54,127,127,127,127,-77,-80,-71,0,0
-54,-77,127,-82,127,127,-81,-72,0,0
-54,-76,-75,127,127,127,-79,-72,0,0
-55,-77,-76,-85,-85,-78,127,-72,0,0
-54,-78,-75,127,127,-78,-79,-72,0,0
-54,-77,127,-83,127,127,-78,-72,0,0
-54,-76,127,-81,127,127,-79,-72,0,0
-55,-77,127,-82,-82,-76,-80,127,0,0
-55,-74,-76,-82,127,127,-79,127,0,0
-55,-75,127,127,127,-76,127,-71,0,0
-54,-75,-78,127,127,-76,127,-71,0,0
-54,-75,-78,127,127,-77,-80,-71,0,0
-54,127,-76,127,127,-78,-80,-71,0,0
-54,-74,-75,-82,127,-77,-79,-71,0,0
-54,-74,-75,-77,127,-77,-83,127,0,0
-54,-75,127,-78,127,127,-81,-72,0,0
-54,-75,-77,-77,127,-78,-79,127,0,0
-54,127,-75,-78,127,-77,127,-72,0,0
-54,127,-77,-80,127,127,-80,-72,0,0
-54,127,-77,-79,127,127,-80,-71,0,0
