Tx_0 RSSI,Tx_1 RSSI,Tx_2 RSSI,Tx_3 RSSI,Tx_4 RSSI,Tx_5 RSSI,Tx_6 RSSI,Tx_7 RSSI
-62,127,-70,-60,127,127,127,127
-62,127,-70,-60,127,-70,127,-75
-62,-68,-70,-61,127,127,127,-74
-62,-71,-70,-60,127,127,127,127
127,127,-69,-60,127,127,127,127
-62,-69,-69,-59,127,127,127,127
-62,127,-70,-60,127,127,127,127
-62,-70,-69,-60,127,127,-81,-76
-63,-69,-68,-60,127,-68,-76,127
-63,-72,-69,127,127,127,-81,-75
-63,127,-69,-59,127,-74,127,-76
127,127,127,-60,127,-72,127,127
127,-70,-68,-60,127,-72,127,127
127,127,-69,-60,127,127,127,127
-62,-71,-69,-60,127,127,127,-76
-62,-71,-69,-60,127,127,127,127
-62,-71,-69,127,127,127,127,127
-62,-71,-69,-59,127,127,127,-76
-63,-71,127,-60,-77,-70,127,127
-62,-70,-69,-60,127,127,127,127
-63,-70,-69,-60,127,-70,127,127
-62,-69,127,-60,127,127,127,127
-62,-70,127,-60,127,-72,127,-78
-62,127,127,-60,127,127,127,127
-63,-70,127,-59,127,127,127,127
-61,-71,-70,127,127,127,-72,-78
-62,-72,-69,-60,127,127,-77,127
-61,127,127,-60,127,-70,127,-77
-63,-71,-69,-60,127,127,127,127
-62,-70,127,-60,127,-70,127,127
-62,-70,-70,-60,127,127,127,127
-62,-70,-71,-60,127,127,-80,127
-62,-71,-70,-60,127,127,127,127
-63,-71,-69,-60,127,127,127,127
-63,127,-69,-60,-82,-71,127,-79
-62,127,-69,-60,127,-70,127,-79
-62,-70,-70,-60,127,-71,127,-78
-62,127,-70,-60,127,-71,127,127
-62,-70,-70,-60,127,-71,127,127
-62,-70,-70,-60,127,-70,127,127
-62,-70,-70,-60,127,-69,127,127
-62,-70,-70,-60,127,127,127,-78
-63,-69,-71,-60,127,-69,127,-77
-62,-69,-71,-60,127,-70,127,-76
-62,-69,-71,-60,127,127,127,-78
-62,-70,127,-60,127,-67,127,127
-62,-69,127,-60,127,-69,127,127
127,-70,-70,-60,127,-69,127,127
-62,-69,-70,-60,127,-70,127,127
-62,-70,-70,-60,127,127,127,-78
-62,-69,-69,-60,127,-69,127,127
-63,-68,-70,-60,-80,127,127,-75
-61,-69,-72,-60,127,-74,127,-67
-62,-70,-75,-60,127,-72,127,127
