Tx_0 RSSI,Tx_1 RSSI,Tx_2 RSSI,Tx_3 RSSI,Tx_4 RSSI,Tx_5 RSSI,Tx_6 RSSI,Tx_7 RSSI,X_Coord,Y_Coord
-61,-74,-79,127,-81,-78,127,-84,0,0
-61,-73,-78,-71,127,-78,127,127,0,0
-62,-75,-78,-72,-79,127,-84,127,0,0
-61,-73,-80,-71,-83,-78,127,127,0,0
-61,-75,-78,-71,-84,-78,-84,-86,0,0
-61,-75,-78,-71,-82,-80,-82,-85,0,0
-61,-75,-78,-71,-80,-78,-84,-84,0,0
-61,-75,-79,-71,-82,-78,127,127,0,0
-61,-75,-79,-71,-81,-78,127,127,0,0
-61,-74,-78,-71,-82,-77,127,127,0,0
-61,-73,-79,-71,-81,-78,127,-84,0,0
-61,-76,-79,-71,-81,-78,127,-84,0,0
-61,-75,-79,-71,-81,-78,127,127,0,0
-61,-75,-78,-71,-80,-79,127,127,0,0
-61,-75,-77,-71,-84,127,127,127,0,0
-61,-74,-78,-72,-83,127,127,127,0,0
-61,-75,-77,-70,-81,127,-83,127,0,0
-61,-76,-78,-71,127,-80,127,127,0,0
-61,-78,-78,127,-82,-79,127,127,0,0
-61,-76,-78,-70,-81,-81,127,-84,0,0
-61,-74,-78,-70,-81,-82,127,-86,0,0
-61,-74,-79,-71,127,-81,127,127,0,0
-61,-75,-79,127,-83,-81,127,-83,0,0
-61,-74,-79,127,-79,-83,127,127,0,0
-61,-74,-81,-70,127,127,127,127,0,0
-61,-75,-80,-70,-81,-80,127,127,0,0
-61,-74,-80,-70,-81,-81,127,-84,0,0
-61,-73,-80,-70,-80,-80,127,127,0,0
-61,-73,127,127,-80,127,127,127,0,0
-61,-74,127,-70,-80,-81,127,-85,0,0
-61,-74,-79,-70,127,-81,127,127,0,0
-61,-74,-79,-70,-81,-81,127,127,0,0
-61,-74,-80,-70,-80,127,127,-85,0,0
-61,-75,-80,-70,-80,127,127,127,0,0
-61,-75,-80,-70,-80,-81,127,-83,0,0
-61,127,127,-70,-80,127,-85,-83,0,0
-61,-72,-79,-70,-81,-80,127,-85,0,0
-61,-73,-79,-70,-81,-80,127,127,0,0
-61,-73,-79,-70,127,-81,127,127,0,0
