Tx_0 RSSI,Tx_1 RSSI,Tx_2 RSSI,Tx_3 RSSI,Tx_4 RSSI,Tx_5 RSSI,Tx_6 RSSI,Tx_7 RSSI,X_Coord,Y_Coord,RSSI_Mean,RSSI_Variance,RSSI_Median
-61,-74,-79,127,-81,-78,127,-84,0,0,-25.375,8892.267857142857,-76.0
-61,-73,-78,-71,127,-78,127,127,0,0,2.5,10656.57142857143,-66.0
-62,-75,-78,-72,-79,127,-84,127,0,0,-24.5,8784.285714285714,-73.5
-61,-73,-80,-71,-83,-78,127,127,0,0,-24.0,8730.57142857143,-72.0
-61,-75,-78,-71,-84,-78,-84,-86,0,0,-77.125,68.125,-78.0
-61,-75,-78,-71,-82,-80,-82,-85,0,0,-76.75,59.92857142857143,-79.0
-61,-75,-78,-71,-80,-78,-84,-84,0,0,-76.375,57.410714285714285,-78.0
-61,-75,-79,-71,-82,-78,127,127,0,0,-24.0,8726.57142857143,-73.0
-61,-75,-79,-71,-81,-78,127,127,0,0,-23.875,8710.125,-73.0
-61,-74,-78,-71,-82,-77,127,127,0,0,-23.625,8681.125,-72.5
-61,-73,-79,-71,-81,-78,127,-84,0,0,-50.0,5166.0,-75.5
-61,-76,-79,-71,-81,-78,127,-84,0,0,-50.375,5186.839285714285,-77.0
-61,-75,-79,-71,-81,-78,127,127,0,0,-23.875,8710.125,-73.0
-61,-75,-78,-71,-80,-79,127,127,0,0,-23.75,8693.92857142857,-73.0
-61,-75,-77,-71,-84,127,127,127,0,0,1.625,10819.69642857143,-66.0
-61,-74,-78,-72,-83,127,127,127,0,0,1.625,10817.125,-66.5
-61,-75,-77,-70,-81,127,-83,127,0,0,-24.125,8746.69642857143,-72.5
-61,-76,-78,-71,127,-80,127,127,0,0,1.875,10768.69642857143,-66.0
-61,-78,-78,127,-82,-79,127,127,0,0,0.375,11034.267857142857,-69.5
-61,-76,-78,-70,-81,-81,127,-84,0,0,-50.5,5198.0,-77.0
-61,-74,-78,-70,-81,-82,127,-86,0,0,-50.625,5212.553571428572,-76.0
-61,-74,-79,-71,127,-81,127,127,0,0,1.875,10771.267857142857,-66.0
-61,-75,-79,127,-83,-81,127,-83,0,0,-26.0,8968.0,-77.0
-61,-74,-79,127,-79,-83,127,127,0,0,0.625,10993.125,-67.5
-61,-74,-81,-70,127,127,127,127,0,0,27.75,11287.642857142857,33.0
-61,-75,-80,-70,-81,-80,127,127,0,0,-24.125,8744.125,-72.5
-61,-74,-80,-70,-81,-81,127,-84,0,0,-50.5,5200.285714285715,-77.0
-61,-73,-80,-70,-80,-80,127,127,0,0,-23.75,8699.357142857143,-71.5
-61,-73,127,127,-80,127,127,127,0,0,52.625,10562.839285714286,127.0
-61,-74,127,-70,-80,-81,127,-85,0,0,-24.625,8812.839285714286,-72.0
-61,-74,-79,-70,127,-81,127,127,0,0,2.0,10750.57142857143,-65.5
-61,-74,-79,-70,-81,-81,127,127,0,0,-24.0,8730.0,-72.0
-61,-74,-80,-70,-80,127,127,-85,0,0,-24.5,8796.857142857143,-72.0
-61,-75,-80,-70,-80,127,127,127,0,0,1.875,10772.125,-65.5
-61,-75,-80,-70,-80,-81,127,-83,0,0,-50.375,5189.125,-77.5
-61,127,127,-70,-80,127,-85,-83,0,0,0.25,11074.5,-65.5
-61,-72,-79,-70,-81,-80,127,-85,0,0,-50.125,5180.125,-75.5
-61,-73,-79,-70,-81,-80,127,127,0,0,-23.75,8699.642857142857,-71.5
-61,-73,-79,-70,127,-81,127,127,0,0,2.125,10728.982142857143,-65.5
-61,-73,-79,-71,-82,-80,-85,127,0,0,-50.5,5201.142857142857,-76.0
-61,-73,-78,-70,-82,-81,-85,127,0,0,-50.375,5195.982142857143,-75.5
-61,-73,-79,-71,-82,-81,127,127,0,0,-24.125,8745.55357142857,-72.0
-61,-73,-78,-70,-81,127,127,127,0,0,2.25,10705.92857142857,-65.5
-61,-73,-79,127,-82,-81,127,127,0,0,0.625,10994.267857142857,-67.0
-61,-73,-79,-71,127,-81,127,127,0,0,2.0,10749.714285714286,-66.0
-61,-74,-79,-70,-82,127,127,127,0,0,1.875,10774.410714285714,-65.5
-61,-73,-79,-71,-81,-81,-84,127,0,0,-50.375,5191.125,-76.0
-61,-73,-78,-70,-81,127,127,127,0,0,2.25,10705.92857142857,-65.5
-61,-73,-79,-70,127,-81,127,127,0,0,2.125,10728.982142857143,-65.5
-61,-73,-78,-70,-82,127,127,127,0,0,2.125,10729.839285714286,-65.5
-62,-74,-79,127,127,-81,127,-84,0,0,0.125,11080.69642857143,-68.0
-61,-73,-78,-71,-81,-80,127,127,0,0,-23.75,8697.357142857143,-72.0
-61,-74,-78,-71,-81,-81,127,127,0,0,-24.0,8727.714285714286,-72.5
-61,-74,-78,-71,-81,-82,127,127,0,0,-24.125,8744.125,-72.5
-61,-74,-78,-71,-81,-81,-83,127,0,0,-50.25,5180.214285714285,-76.0
-61,-74,-78,-71,-81,-82,-85,127,0,0,-50.625,5208.267857142857,-76.0
-61,-74,-78,-71,-83,-81,127,127,0,0,-24.25,8760.785714285714,-72.5
-61,-71,-80,-72,-80,-82,127,-83,0,0,-50.25,5183.928571428572,-76.0
-61,-73,-78,-71,-81,-81,127,127,0,0,-23.875,8713.55357142857,-72.0
-61,-74,-78,-71,127,-81,127,127,0,0,2.0,10748.285714285714,-66.0
-61,-74,-78,-71,127,-81,127,127,0,0,2.0,10748.285714285714,-66.0
-61,-74,-78,-71,127,-83,127,127,0,0,1.75,10796.214285714286,-66.0
-61,-74,-78,-70,-80,-82,-85,-86,0,0,-77.0,70.57142857142857,-79.0
-61,-73,-78,-71,-80,-82,-86,-83,0,0,-76.75,65.64285714285714,-79.0
-61,-72,-79,-70,-80,127,127,127,0,0,2.375,10683.982142857143,-65.5
-61,-74,127,-71,127,-81,-85,127,0,0,1.125,10914.410714285714,-66.0
-61,-73,127,-70,-79,127,127,127,0,0,28.125,11196.982142857143,33.0
-61,-74,-79,-71,-80,127,127,-85,0,0,-24.5,8794.285714285714,-72.5
-61,-74,-79,-70,-80,127,127,127,0,0,2.125,10726.982142857143,-65.5
-61,-75,-79,-71,127,-80,-85,127,0,0,-24.625,8808.55357142857,-73.0
-61,-74,-79,-70,-80,-81,-84,127,0,0,-50.25,5183.357142857143,-76.5
-61,-74,-78,127,-80,-81,127,-85,0,0,-25.625,8924.55357142857,-76.0
-61,-75,-79,-71,-82,-80,-85,127,0,0,-50.75,5214.5,-77.0
-61,-73,-78,-71,-81,-82,-85,127,0,0,-50.5,5201.714285714285,-75.5
-61,-73,-78,-71,-81,-82,127,127,0,0,-24.0,8730.0,-72.0
-61,-74,-78,-71,127,-82,127,127,0,0,1.875,10772.125,-66.0
-61,-73,-78,-71,-80,127,127,-85,0,0,-24.25,8764.785714285714,-72.0
-61,-74,-80,-71,-80,-81,-86,127,0,0,-50.75,5217.071428571428,-77.0
-61,-73,-80,-71,-80,127,-85,-84,0,0,-50.875,5227.839285714285,-76.5
-61,-75,-79,-70,-82,-79,127,127,0,0,-24.0,8728.857142857143,-72.5
-61,-74,-79,-71,-82,127,127,-84,0,0,-24.625,8809.410714285714,-72.5
-61,-73,-78,127,-82,-80,127,127,0,0,0.875,10948.410714285714,-67.0
-61,-74,-79,-71,-82,-80,127,127,0,0,-24.125,8743.55357142857,-72.5
-62,-75,-79,-71,-82,-80,127,127,0,0,-24.375,8768.55357142857,-73.0
-61,-74,-81,-71,-81,-81,127,127,0,0,-24.375,8775.125,-72.5
-61,-74,-79,-71,127,127,-84,127,0,0,1.5,10843.42857142857,-66.0
-61,-73,-82,-71,-80,127,127,127,0,0,1.75,10796.785714285714,-66.0
-61,-74,-79,-71,-80,-81,127,-86,0,0,-50.625,5208.839285714285,-76.5
-61,-74,-80,-72,-80,-80,127,127,0,0,-24.125,8740.410714285714,-73.0
-61,-73,127,-71,-80,-81,127,127,0,0,1.875,10772.982142857143,-66.0
-61,-74,-79,-71,-80,-81,127,127,0,0,-24.0,8727.142857142857,-72.5
-61,-73,-79,-71,-80,-80,127,127,0,0,-23.75,8696.785714285714,-72.0
-61,-74,-80,-71,-80,-80,127,127,0,0,-24.0,8726.857142857143,-72.5
-61,-75,-80,-71,-80,-80,127,127,0,0,-24.125,8741.267857142857,-73.0
-61,-73,-80,-71,-80,-81,127,127,0,0,-24.0,8728.857142857143,-72.0
-61,-73,-80,127,-80,127,127,127,0,0,26.75,11520.214285714286,33.0
-61,-72,-80,-71,-80,127,127,127,0,0,2.125,10728.125,-66.0
-61,-71,127,-71,-80,-80,-85,127,0,0,-24.25,8768.785714285714,-71.0
-61,-73,-81,-71,-80,-81,127,127,0,0,-24.125,8744.982142857143,-72.0
-61,-72,-80,-71,-80,-80,127,127,0,0,-23.75,8698.785714285714,-71.5
-67,-74,-75,-67,-83,-75,-81,-80,1,1,-75.25,36.214285714285715,-75.0
-69,-71,-74,-68,127,-74,-81,-84,1,1,-49.25,5102.785714285715,-72.5
-68,-73,-76,-68,-82,-75,-81,-82,1,1,-75.625,33.410714285714285,-75.5
-69,-71,-76,-68,-83,-74,-80,127,1,1,-49.25,5098.785714285715,-72.5
-69,-71,-77,-68,-83,-75,127,-83,1,1,-49.875,5140.982142857143,-73.0
-69,-71,-76,-68,-83,-74,-81,-82,1,1,-75.5,35.714285714285715,-75.0
-69,-73,-76,-69,-84,-76,-81,-79,1,1,-75.875,29.267857142857142,-76.0
-69,-70,-76,-69,127,-74,-82,-82,1,1,-49.375,5106.839285714285,-72.0
-69,-69,-76,-69,127,-74,-81,-82,1,1,-49.125,5091.839285714285,-71.5
-69,-69,-76,-69,127,-74,-81,127,1,1,-23.0,8588.857142857143,-69.0
-69,-69,-76,-69,127,-74,-81,127,1,1,-23.0,8588.857142857143,-69.0
-70,-70,-73,-70,127,-76,-80,127,1,1,-23.125,8597.839285714286,-70.0
-69,-72,-75,-68,127,-75,-80,-82,1,1,-49.25,5095.357142857143,-73.5
-70,-72,-76,-70,127,-75,-81,127,1,1,-23.75,8670.214285714286,-71.0
-69,-71,-76,-68,127,-75,-80,-82,1,1,-49.25,5096.5,-73.0
-68,127,-75,-69,127,-73,-80,127,1,1,2.0,10727.714285714286,-68.5
-69,-73,127,127,-82,-74,-82,-82,1,1,-26.0,8941.142857142857,-73.5
-68,-71,-76,-68,-84,-74,-80,-82,1,1,-75.375,38.55357142857143,-75.0
-69,-72,127,-68,127,-74,-81,-81,1,1,-23.875,8694.982142857143,-70.5
