Tx_0 Batt,Tx_0 Time,Tx_1 Batt,Tx_1 Time,Tx_2 Batt,Tx_2 Time,Tx_3 Batt,Tx_3 Time,Tx_4 Batt,Tx_4 Time,Tx_5 Batt,Tx_5 Time,Tx_6 Batt,Tx_6 Time,Tx_7 Batt,Tx_7 Time,X_Coord,Y_Coord,Tx_0 RSSI,Tx_1 RSSI,Tx_2 RSSI,Tx_3 RSSI,Tx_4 RSSI,Tx_5 RSSI,Tx_6 RSSI,Tx_7 RSSI
4.18,0.0,4.19,0.0,4.17,0.0,4.16,0.0,,0.0,4.14,0.0,,0.0,,0.0,1,1,-62.12282342498135,-78.21973635875251,-73.07323042667383,-77.2860061689419,,-72.29130805091764,-68.09291823782614,
4.18,0.0,4.19,0.0,4.17,0.0,4.16,0.0,,0.0,4.14,0.0,,0.0,,0.0,1,1,-57.89168172365105,-79.38298416630101,-77.8578805813653,-75.58736621778345,,-73.10759275271288,-75.47217684173246,
4.18,0.0,4.19,0.0,4.17,0.0,4.16,0.0,,0.0,4.14,0.0,,0.0,,0.0,1,1,-60.57882649992075,-81.60198665903182,-74.94604690101735,-75.48776226421857,,-74.45285103992882,-71.91066736406027,
4.18,0.0,4.19,0.0,4.17,0.0,4.16,0.0,,0.0,4.14,0.0,,0.0,,0.0,1,1,-61.49477931622582,-77.15281762193865,-76.5905773445262,-78.46263081858571,,-73.15370570962283,-71.06083887053963,
4.18,0.0,4.19,0.0,4.17,0.0,4.16,0.0,,0.0,4.14,0.0,,0.0,,0.0,1,1,-59.505243198020395,-74.2286088452919,-74.37255969959382,-77.77208356509345,,-72.2088391515577,-74.73973892936186,
4.18,0.0,4.19,0.0,4.17,0.0,4.16,0.0,,0.0,4.14,0.0,,0.0,,0.0,1,1,-61.510092269150306,-75.69198322668558,-72.12008078092829,-75.0321384881503,,-75.64000987936683,-68.09979215140996,
4.18,0.0,4.19,0.0,4.17,0.0,4.16,0.0,,0.0,4.14,0.0,,0.0,,0.0,1,1,-60.75833030739305,-73.33849132892492,-74.27823214498542,-73.23379515876758,,-73.03960781354124,-72.9048432792433,
4.18,0.0,4.19,0.0,4.17,0.0,4.16,0.0,,0.0,4.14,0.0,,0.0,,0.0,1,1,-58.40860134465149,-76.50643911298734,-75.42970304473039,-75.57271582227824,,-74.5362300411879,-75.63663036174273,
4.18,0.0,4.19,0.0,4.17,0.0,4.16,0.0,,0.0,4.14,0.0,,0.0,,0.0,1,1,-61.4857009598697,-76.81677813403897,-72.6040652121038,-75.21432837183781,,-70.90759257056976,-70.4950010356151,
4.18,0.0,4.19,0.0,4.17,0.0,4.16,0.0,,0.0,4.14,0.0,,0.0,,0.0,1,1,-58.78697129776218,-76.9471828759194,-72.62356923336255,-79.08606337314741,,-68.91222027217898,-71.49752064481672,
