Tx_0 RSSI,Tx_0 Batt,Tx_0 Time,Tx_1 RSSI,Tx_1 Batt,Tx_1 Time,Tx_2 RSSI,Tx_2 Batt,Tx_2 Time,Tx_3 RSSI,Tx_3 Batt,Tx_3 Time,Tx_4 RSSI,Tx_4 Batt,Tx_4 Time,Tx_5 RSSI,Tx_5 Batt,Tx_5 Time,Tx_6 RSSI,Tx_6 Batt,Tx_6 Time,Tx_7 RSSI,Tx_7 Batt,Tx_7 Time
-67,4.18,22-55-07,-67,4.18,22-55-07,127,-99.0,22-55-07,-69,4.17,22-55-07,-74,-2.0,22-55-07,-75,4.14,22-55-07,-76,-2.0,22-55-07,-76,-2.0,22-55-07
-67,-2.0,22-55-07,-66,4.19,22-55-07,-77,4.17,22-55-07,-68,4.18,22-55-07,-73,-2.0,22-55-07,-73,4.13,22-55-07,-76,-2.0,22-55-07,-75,4.18,22-55-07
-67,4.2,22-55-07,-66,4.19,22-55-07,-77,4.17,22-55-07,-67,-2.0,22-55-07,-73,-2.0,22-55-07,-73,4.14,22-55-07,-77,4.16,22-55-07,-76,4.19,22-55-07
-67,4.19,22-55-07,-66,4.18,22-55-07,-76,4.17,22-55-07,-67,4.17,22-55-07,-73,4.16,22-55-07,-73,4.14,22-55-07,-77,4.16,22-55-07,-76,4.18,22-55-07
-67,-2.0,22-55-07,-67,4.19,22-55-07,-78,4.16,22-55-07,-68,4.16,22-55-07,-73,4.15,22-55-07,-73,-2.0,22-55-07,-76,4.16,22-55-07,-76,-2.0,22-55-07
-67,4.19,22-55-07,-67,4.2,22-55-07,-77,4.14,22-55-07,-67,4.17,22-55-07,-73,-2.0,22-55-07,-73,4.13,22-55-07,-76,4.15,22-55-07,-76,-2.0,22-55-07
-66,-2.0,22-55-07,-67,4.19,22-55-07,-77,4.16,22-55-07,-67,-2.0,22-55-07,-73,4.14,22-55-07,-73,4.13,22-55-07,-76,4.16,22-55-07,-75,4.18,22-55-07
-66,4.18,22-55-07,-67,4.19,22-55-07,-77,4.17,22-55-07,-67,4.16,22-55-07,-73,-2.0,22-55-07,-73,4.14,22-55-07,-76,4.16,22-55-07,-76,4.18,22-55-07
-67,4.19,22-55-07,-67,4.18,22-55-07,-76,4.16,22-55-07,-68,-2.0,22-55-07,-73,4.14,22-55-07,-73,-2.0,22-55-07,-76,4.16,22-55-07,-76,4.19,22-55-07
-67,4.18,22-55-07,-67,4.19,22-55-07,-77,4.15,22-55-07,-68,4.17,22-55-07,-74,4.14,22-55-07,-73,4.13,22-55-07,-76,4.16,22-55-07,-76,4.18,22-55-07
